{'control': [60, 70, 0.1, 0.01, 0.02, 0.05, 0], 'midi': [[[144, 57, 1, 0], 7560], [[128, 57, 1, 0], 8930]]}
{'control': [60, 70, 0.1, 0.05, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 216695], [[128, 57, 35, 0], 217367]]}
{'control': [60, 70, 0.1, 0.05, 0.03, 0.05, 0], 'midi': [[[144, 57, 3, 0], 221501], [[128, 57, 27, 0], 222529]]}
{'control': [60, 70, 0.1, 0.05, 0.04, 0.05, 0], 'midi': [[[144, 57, 3, 0], 226761], [[128, 57, 21, 0], 228117]]}
{'control': [60, 70, 0.1, 0.055, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 232391], [[128, 57, 33, 0], 233043]]}
{'control': [60, 70, 0.1, 0.055, 0.03, 0.05, 0], 'midi': [[[144, 57, 7, 0], 237010], [[128, 57, 26, 0], 238043]]}
{'control': [60, 70, 0.1, 0.055, 0.04, 0.05, 0], 'midi': [[[144, 57, 7, 0], 242073], [[128, 57, 21, 0], 243415]]}
{'control': [60, 70, 0.1, 0.060000000000000005, 0.02, 0.05, 0], 'midi': [[[144, 57, 1, 0], 247551], [[128, 57, 32, 0], 248185]]}
{'control': [60, 70, 0.1, 0.060000000000000005, 0.03, 0.05, 0], 'midi': [[[144, 57, 9, 0], 252019], [[128, 57, 26, 0], 253061]]}
{'control': [60, 70, 0.1, 0.060000000000000005, 0.04, 0.05, 0], 'midi': [[[144, 57, 10, 0], 256935], [[128, 57, 22, 0], 258265]]}
{'control': [60, 70, 0.1, 0.065, 0.02, 0.05, 0], 'midi': [[[144, 57, 1, 0], 262285], [[128, 57, 32, 0], 262915]]}
{'control': [60, 70, 0.1, 0.065, 0.03, 0.05, 0], 'midi': [[[144, 57, 10, 0], 266647], [[128, 57, 26, 0], 267688]]}
{'control': [60, 70, 0.1, 0.065, 0.04, 0.05, 0], 'midi': [[[144, 57, 12, 0], 271455], [[128, 57, 21, 0], 272785]]}
{'control': [60, 70, 0.1, 0.06999999999999999, 0.02, 0.05, 0], 'midi': [[[144, 57, 1, 0], 276717], [[128, 57, 31, 0], 277344]]}
{'control': [60, 70, 0.1, 0.06999999999999999, 0.03, 0.05, 0], 'midi': [[[144, 57, 8, 0], 281020], [[128, 57, 28, 0], 282049]]}
{'control': [60, 70, 0.1, 0.06999999999999999, 0.04, 0.05, 0], 'midi': [[[144, 57, 14, 0], 285733], [[128, 57, 22, 0], 287062]]}
{'control': [60, 70, 0.1, 0.075, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 290901], [[128, 57, 33, 0], 291559]]}
{'control': [60, 70, 0.1, 0.075, 0.03, 0.05, 0], 'midi': [[[144, 57, 8, 0], 295193], [[128, 57, 27, 0], 296222]]}
{'control': [60, 70, 0.1, 0.075, 0.04, 0.05, 0], 'midi': [[[144, 57, 17, 0], 299837], [[128, 57, 22, 0], 301170]]}
{'control': [60, 70, 0.1, 0.08, 0.02, 0.05, 0], 'midi': [[[144, 57, 1, 0], 304992], [[128, 57, 31, 0], 305614]]}
{'control': [60, 70, 0.1, 0.08, 0.03, 0.05, 0], 'midi': [[[144, 57, 9, 0], 309218], [[128, 57, 27, 0], 310252]]}
{'control': [60, 70, 0.1, 0.08, 0.04, 0.05, 0], 'midi': [[[144, 57, 20, 0], 313814], [[128, 57, 21, 0], 315152]]}
{'control': [60, 70, 0.5, 0.01, 0.02, 0.05, 0], 'midi': [[[144, 57, 1, 0], 324354], [[128, 57, 1, 0], 325232]]}
{'control': [60, 70, 0.5, 0.01, 0.03, 0.05, 0], 'midi': [[[144, 57, 1, 0], 339396], [[128, 57, 1, 0], 341902]]}
{'control': [60, 70, 0.5, 0.01, 0.04, 0.05, 0], 'midi': [[[144, 57, 1, 0], 356465], [[128, 57, 1, 0], 360722]]}
{'control': [60, 70, 0.5, 0.015, 0.02, 0.05, 0], 'midi': [[[144, 57, 1, 0], 373254], [[128, 57, 14, 0], 373925]]}
{'control': [60, 70, 0.5, 0.015, 0.03, 0.05, 0], 'midi': [[[144, 57, 1, 0], 383720], [[128, 57, 1, 0], 385458]]}
{'control': [60, 70, 0.5, 0.015, 0.04, 0.05, 0], 'midi': [[[144, 57, 1, 0], 395432], [[128, 57, 1, 0], 398334]]}
{'control': [60, 70, 0.5, 0.02, 0.02, 0.05, 0], 'midi': [[[144, 57, 1, 0], 407445], [[128, 57, 20, 0], 407983]]}
{'control': [60, 70, 0.5, 0.02, 0.03, 0.05, 0], 'midi': [[[144, 57, 1, 0], 415549], [[128, 57, 4, 0], 416927]]}
{'control': [60, 70, 0.5, 0.02, 0.04, 0.05, 0], 'midi': [[[144, 57, 1, 0], 424649], [[128, 57, 1, 0], 426847]]}
{'control': [60, 70, 0.5, 0.025, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 434123], [[128, 57, 26, 0], 434605]]}
{'control': [60, 70, 0.5, 0.025, 0.03, 0.05, 0], 'midi': [[[144, 57, 2, 0], 440857], [[128, 57, 11, 0], 441997]]}
{'control': [60, 70, 0.5, 0.025, 0.04, 0.05, 0], 'midi': [[[144, 57, 2, 0], 448375], [[128, 57, 1, 0], 450175]]}
{'control': [60, 70, 0.5, 0.03, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 456303], [[128, 57, 27, 0], 456733]]}
{'control': [60, 70, 0.5, 0.03, 0.03, 0.05, 0], 'midi': [[[144, 57, 2, 0], 462125], [[128, 57, 15, 0], 463089]]}
{'control': [60, 70, 0.5, 0.03, 0.04, 0.05, 0], 'midi': [[[144, 57, 2, 0], 468633], [[128, 57, 7, 0], 470137]]}
{'control': [60, 70, 0.5, 0.035, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 475466], [[128, 57, 30, 0], 475872]]}
{'control': [60, 70, 0.5, 0.035, 0.03, 0.05, 0], 'midi': [[[144, 57, 2, 0], 480655], [[128, 57, 18, 0], 481495]]}
{'control': [60, 70, 0.5, 0.035, 0.04, 0.05, 0], 'midi': [[[144, 57, 2, 0], 486423], [[128, 57, 10, 0], 487736]]}
{'control': [60, 70, 0.5, 0.04, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 492501], [[128, 57, 35, 0], 492880]]}
{'control': [60, 70, 0.5, 0.04, 0.03, 0.05, 0], 'midi': [[[144, 57, 2, 0], 497190], [[128, 57, 20, 0], 497960]]}
{'control': [60, 70, 0.5, 0.04, 0.04, 0.05, 0], 'midi': [[[144, 57, 2, 0], 502403], [[128, 57, 13, 0], 503576]]}
{'control': [60, 70, 0.5, 0.045000000000000005, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 507929], [[128, 57, 46, 0], 508265]]}
{'control': [60, 70, 0.5, 0.045000000000000005, 0.03, 0.05, 0], 'midi': [[[144, 57, 2, 0], 512270], [[128, 57, 25, 0], 512950]]}
{'control': [60, 70, 0.5, 0.045000000000000005, 0.04, 0.05, 0], 'midi': [[[144, 57, 4, 0], 517028], [[128, 57, 14, 0], 518106]]}
{'control': [60, 70, 0.5, 0.05, 0.02, 0.05, 0], 'midi': [[[144, 57, 3, 0], 522138], [[128, 57, 54, 0], 522464]]}
{'control': [60, 70, 0.5, 0.05, 0.03, 0.05, 0], 'midi': [[[144, 57, 5, 0], 526159], [[128, 57, 33, 0], 526776]]}
{'control': [60, 70, 0.5, 0.05, 0.04, 0.05, 0], 'midi': [[[144, 57, 4, 0], 530620], [[128, 57, 16, 0], 531602]]}
{'control': [60, 70, 0.5, 0.055, 0.02, 0.05, 0], 'midi': [[[144, 57, 8, 0], 535330], [[128, 57, 59, 0], 535658]]}
{'control': [60, 70, 0.5, 0.055, 0.03, 0.05, 0], 'midi': [[[144, 57, 6, 0], 539148], [[128, 57, 42, 0], 539719]]}
{'control': [60, 70, 0.5, 0.055, 0.04, 0.05, 0], 'midi': [[[144, 57, 8, 0], 543312], [[128, 57, 17, 0], 544236]]}
{'control': [60, 70, 0.5, 0.060000000000000005, 0.02, 0.05, 0], 'midi': [[[144, 57, 9, 0], 547743], [[128, 57, 61, 0], 548070]]}
{'control': [60, 70, 0.5, 0.060000000000000005, 0.03, 0.05, 0], 'midi': [[[144, 57, 9, 0], 551344], [[128, 57, 48, 0], 551888]]}
{'control': [60, 70, 0.5, 0.060000000000000005, 0.04, 0.05, 0], 'midi': [[[144, 57, 9, 0], 555302], [[128, 57, 20, 0], 556162]]}
{'control': [60, 70, 0.5, 0.065, 0.02, 0.05, 0], 'midi': [[[144, 57, 11, 0], 559490], [[128, 57, 63, 0], 559820]]}
{'control': [60, 70, 0.5, 0.065, 0.03, 0.05, 0], 'midi': [[[144, 57, 11, 0], 562944], [[128, 57, 51, 0], 563481]]}
{'control': [60, 70, 0.5, 0.065, 0.04, 0.05, 0], 'midi': [[[144, 57, 11, 0], 566710], [[128, 57, 26, 0], 567510]]}
{'control': [60, 70, 0.5, 0.06999999999999999, 0.02, 0.05, 0], 'midi': [[[144, 57, 15, 0], 570700], [[128, 57, 63, 0], 571043]]}
{'control': [60, 70, 0.5, 0.06999999999999999, 0.03, 0.05, 0], 'midi': [[[144, 57, 15, 0], 574034], [[128, 57, 55, 0], 574563]]}
{'control': [60, 70, 0.5, 0.06999999999999999, 0.04, 0.05, 0], 'midi': [[[144, 57, 15, 0], 577642], [[128, 57, 31, 0], 578404]]}
{'control': [60, 70, 0.5, 0.075, 0.02, 0.05, 0], 'midi': [[[144, 57, 18, 0], 581489], [[128, 57, 63, 0], 581833]]}
{'control': [60, 70, 0.5, 0.075, 0.03, 0.05, 0], 'midi': [[[144, 57, 18, 0], 584688], [[128, 57, 58, 0], 585207]]}
{'control': [60, 70, 0.5, 0.075, 0.04, 0.05, 0], 'midi': [[[144, 57, 17, 0], 588161], [[128, 57, 38, 0], 588877]]}
{'control': [60, 70, 0.5, 0.08, 0.02, 0.05, 0], 'midi': [[[144, 57, 21, 0], 591862], [[128, 57, 62, 0], 592208]]}
{'control': [60, 70, 0.5, 0.08, 0.03, 0.05, 0], 'midi': [[[144, 57, 21, 0], 594983], [[128, 57, 58, 0], 595490]]}
{'control': [60, 70, 0.5, 0.08, 0.04, 0.05, 0], 'midi': [[[144, 57, 22, 0], 598331], [[128, 57, 44, 0], 599019]]}
{'control': [60, 70, 1.0, 0.01, 0.02, 0.05, 0], 'midi': [[[144, 57, 1, 0], 607983], [[128, 57, 1, 0], 608781]]}
{'control': [60, 70, 1.0, 0.01, 0.03, 0.05, 0], 'midi': [[[144, 57, 1, 0], 622903], [[128, 57, 1, 0], 625441]]}
{'control': [60, 70, 1.0, 0.01, 0.04, 0.05, 0], 'midi': [[[144, 57, 1, 0], 640036], [[128, 57, 1, 0], 644222]]}
{'control': [60, 70, 1.0, 0.015, 0.02, 0.05, 0], 'midi': [[[144, 57, 1, 0], 656771], [[128, 57, 14, 0], 657398]]}
{'control': [60, 70, 1.0, 0.015, 0.03, 0.05, 0], 'midi': [[[144, 57, 1, 0], 667176], [[128, 57, 1, 0], 668886]]}
{'control': [60, 70, 1.0, 0.015, 0.04, 0.05, 0], 'midi': [[[144, 57, 1, 0], 678921], [[128, 57, 1, 0], 681744]]}
{'control': [60, 70, 1.0, 0.02, 0.02, 0.05, 0], 'midi': [[[144, 57, 1, 0], 690856], [[128, 57, 20, 0], 691372]]}
{'control': [60, 70, 1.0, 0.02, 0.03, 0.05, 0], 'midi': [[[144, 57, 1, 0], 698934], [[128, 57, 8, 0], 700238]]}
{'control': [60, 70, 1.0, 0.02, 0.04, 0.05, 0], 'midi': [[[144, 57, 1, 0], 708014], [[128, 57, 1, 0], 710178]]}
{'control': [60, 70, 1.0, 0.025, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 717428], [[128, 57, 28, 0], 717874]]}
{'control': [60, 70, 1.0, 0.025, 0.03, 0.05, 0], 'midi': [[[144, 57, 2, 0], 724096], [[128, 57, 10, 0], 725210]]}
{'control': [60, 70, 1.0, 0.025, 0.04, 0.05, 0], 'midi': [[[144, 57, 2, 0], 731606], [[128, 57, 1, 0], 733356]]}
{'control': [60, 70, 1.0, 0.03, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 739472], [[128, 57, 29, 0], 739850]]}
{'control': [60, 70, 1.0, 0.03, 0.03, 0.05, 0], 'midi': [[[144, 57, 2, 0], 745244], [[128, 57, 15, 0], 746164]]}
{'control': [60, 70, 1.0, 0.03, 0.04, 0.05, 0], 'midi': [[[144, 57, 1, 0], 751688], [[128, 57, 7, 0], 753148]]}
{'control': [60, 70, 1.0, 0.035, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 758464], [[128, 57, 30, 0], 758829]]}
{'control': [60, 70, 1.0, 0.035, 0.03, 0.05, 0], 'midi': [[[144, 57, 2, 0], 763576], [[128, 57, 19, 0], 764377]]}
{'control': [60, 70, 1.0, 0.035, 0.04, 0.05, 0], 'midi': [[[144, 57, 2, 0], 769269], [[128, 57, 10, 0], 770542]]}
{'control': [60, 70, 1.0, 0.04, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 775299], [[128, 57, 33, 0], 775640]]}
{'control': [60, 70, 1.0, 0.04, 0.03, 0.05, 0], 'midi': [[[144, 57, 2, 0], 779927], [[128, 57, 23, 0], 780637]]}
{'control': [60, 70, 1.0, 0.04, 0.04, 0.05, 0], 'midi': [[[144, 57, 2, 0], 785063], [[128, 57, 13, 0], 786195]]}
{'control': [60, 70, 1.0, 0.045000000000000005, 0.02, 0.05, 0], 'midi': [[[144, 57, 3, 0], 790516], [[128, 57, 40, 0], 790835]]}
{'control': [60, 70, 1.0, 0.045000000000000005, 0.03, 0.05, 0], 'midi': [[[144, 57, 3, 0], 794741], [[128, 57, 26, 0], 795381]]}
{'control': [60, 70, 1.0, 0.045000000000000005, 0.04, 0.05, 0], 'midi': [[[144, 57, 3, 0], 799447], [[128, 57, 15, 0], 800465]]}
{'control': [60, 70, 1.0, 0.05, 0.02, 0.05, 0], 'midi': [[[144, 57, 5, 0], 804450], [[128, 57, 50, 0], 804737]]}
{'control': [60, 70, 1.0, 0.05, 0.03, 0.05, 0], 'midi': [[[144, 57, 6, 0], 808387], [[128, 57, 32, 0], 808964]]}
{'control': [60, 70, 1.0, 0.05, 0.04, 0.05, 0], 'midi': [[[144, 57, 3, 0], 812749], [[128, 57, 17, 0], 813679]]}
{'control': [60, 70, 1.0, 0.055, 0.02, 0.05, 0], 'midi': [[[144, 57, 7, 0], 817379], [[128, 57, 61, 0], 817651]]}
{'control': [60, 70, 1.0, 0.055, 0.03, 0.05, 0], 'midi': [[[144, 57, 6, 0], 821081], [[128, 57, 39, 0], 821601]]}
{'control': [60, 70, 1.0, 0.055, 0.04, 0.05, 0], 'midi': [[[144, 57, 6, 0], 825155], [[128, 57, 20, 0], 826001]]}
{'control': [60, 70, 1.0, 0.060000000000000005, 0.02, 0.05, 0], 'midi': [[[144, 57, 9, 0], 829491], [[128, 57, 67, 0], 829755]]}
{'control': [60, 70, 1.0, 0.060000000000000005, 0.03, 0.05, 0], 'midi': [[[144, 57, 8, 0], 832999], [[128, 57, 45, 0], 833487]]}
{'control': [60, 70, 1.0, 0.060000000000000005, 0.04, 0.05, 0], 'midi': [[[144, 57, 9, 0], 836833], [[128, 57, 22, 0], 837632]]}
{'control': [60, 70, 1.0, 0.065, 0.02, 0.05, 0], 'midi': [[[144, 57, 11, 0], 840921], [[128, 57, 70, 0], 841183]]}
{'control': [60, 70, 1.0, 0.065, 0.03, 0.05, 0], 'midi': [[[144, 57, 11, 0], 844256], [[128, 57, 51, 0], 844723]]}
{'control': [60, 70, 1.0, 0.065, 0.04, 0.05, 0], 'midi': [[[144, 57, 11, 0], 847895], [[128, 57, 26, 0], 848631]]}
{'control': [60, 70, 1.0, 0.06999999999999999, 0.02, 0.05, 0], 'midi': [[[144, 57, 13, 0], 851777], [[128, 57, 74, 0], 852034]]}
{'control': [60, 70, 1.0, 0.06999999999999999, 0.03, 0.05, 0], 'midi': [[[144, 57, 14, 0], 854966], [[128, 57, 57, 0], 855416]]}
{'control': [60, 70, 1.0, 0.06999999999999999, 0.04, 0.05, 0], 'midi': [[[144, 57, 14, 0], 858444], [[128, 57, 33, 0], 859118]]}
{'control': [60, 70, 1.0, 0.075, 0.02, 0.05, 0], 'midi': [[[144, 57, 17, 0], 862149], [[128, 57, 79, 0], 862417]]}
{'control': [60, 70, 1.0, 0.075, 0.03, 0.05, 0], 'midi': [[[144, 57, 17, 0], 865211], [[128, 57, 62, 0], 865652]]}
{'control': [60, 70, 1.0, 0.075, 0.04, 0.05, 0], 'midi': [[[144, 57, 17, 0], 868547], [[128, 57, 39, 0], 869186]]}
{'control': [60, 70, 1.0, 0.08, 0.02, 0.05, 0], 'midi': [[[144, 57, 21, 0], 872095], [[128, 57, 81, 0], 872358]]}
{'control': [60, 70, 1.0, 0.08, 0.03, 0.05, 0], 'midi': [[[144, 57, 21, 0], 875038], [[128, 57, 65, 0], 875461]]}
{'control': [60, 70, 1.0, 0.08, 0.04, 0.05, 0], 'midi': [[[144, 57, 21, 0], 878244], [[128, 57, 44, 0], 878853]]}
